date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:32	300/300	---M-Z	200	added ('OK')	text/plain	date:Wed,%2024%20Mar%202021%2023:03:09%20GMT	https://www.ahamibeleme.com/robots.txt		(from )
11:44:33	602175/602175	---M-Z	200	added ('OK')	text/html	etag:W/%22389b66b5d51afcb1e925b92fca976274%22	https://www.ahamibeleme.com/	C:/My%20Web%20Sites/art/www.ahamibeleme.com/index.html	(from )
11:44:34	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Wed,%2031%20Mar%202021%2009:44:13%20GMT	http://static1.squarespace.com/static/5704ec402fe131860c2138f3/t/57052e1db09f9586f269a3d4/1459957277844/Aham%27s+Logo.jpg?format=1500w	C:/My%20Web%20Sites/art/static1.squarespace.com/static/5704ec402fe131860c2138f3/t/57052e1db09f9586f269a3d4/1459957277844/Aham's+Logo.026f7.delayed	(from https://www.ahamibeleme.com/)
11:44:36	1283/1283	---M-Z	200	added ('OK')	text/javascript	etag:%22c42adc88b22aa72ad9b9c5103c2a0c7e%22	http://assets.squarespace.com/universal/scripts-compressed/moment-js-vendor-dfdca75a39c0b3652f275-min.en-US.js	C:/My%20Web%20Sites/art/assets.squarespace.com/universal/scripts-compressed/moment-js-vendor-dfdca75a39c0b3652f275-min.en-US.js	(from https://www.ahamibeleme.com/)
11:44:36	18191/18191	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2031%20Mar%202021%2009:44:15%20GMT	http://use.typekit.net/ik/_cG8PlJuJViPnRQ6i-QdhINffruj8Bgo9ku6zbGLrnvfeTXIfFHN4UJLFRbh52jhWD9aw2s8jDb3wcZ8wQwU52j3jDJUwDycwU7VMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBGjAXl-A48demlZPuTF2gUO1FUiABkZWF3jAF8OcFzdP37OcBDOcu8OfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1Oco8ifUy-eBlOA8KZAU8dA9l-Qb3SPoDSWmyScmDSeBRZPoRdhXCjAyydA8KZAU8dA90jhNlOeBDOcu8OeUzjhBC-eNDifUDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80Zko0ZWbCiaiaOcBGjAXl-A48demlZPuTF2gUO1FUiABkZWF3jAF8OcFzdPUaiaS0jAyydA8KZAU8dA90jhNlOYiaikoySkolZPUaiaS0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPJsj14ydcszdKu1ScNXZWFUiA9KgcmuScN3jPG4fwgbIMMjfPMfH6qJ7WqbMs62JMJ7fbK7psMgeMb6MKG4fHyoIMIjgkMfH6GJttjgIMIj2PMfH6GJojjgIMIjIPMfqMYtRG_agb.js	C:/My%20Web%20Sites/art/use.typekit.net/ik/_cG8PlJuJViPnRQ6i-QdhINffruj8Bgo9ku6zbGLrnvfeTXIfFHN4UJLFRbh52jhWD9aw2s8jDb3wcZ8wQwU52j3jDJUwDycwU7VMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBGjAXl-A48demlZPuTF2gUO1FUiABkZ	(from https://www.ahamibeleme.com/)
11:44:38	121795/121795	---M-Z	200	added ('OK')	text/javascript	etag:%22407be27f6c01802526b08d75e747f800%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-7d6dc599f0e9e5882dcca-min.en-US.js	C:/My%20Web%20Sites/art/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-7d6dc599f0e9e5882dcca-min.en-US.js	(from https://www.ahamibeleme.com/)
11:44:39	33391/33391	---M--	200	added ('OK')	image/jpeg	etag:CNHlwMTgkusCEAE=	https://images.squarespace-cdn.com/content/5704ec402fe131860c2138f3/1459957277210-BYINYCJVBPWL1D5K4SZL/Aham%27s+Logo.jpg?content-type=image%2Fjpeg	C:/My%20Web%20Sites/art/images.squarespace-cdn.com/content/5704ec402fe131860c2138f3/1459957277210-BYINYCJVBPWL1D5K4SZL/Aham's+Logoee8a.jpg	(from https://www.ahamibeleme.com/)
11:44:39	10063/10063	---M-Z	200	added ('OK')	text/css	etag:%22e1cb2ba8bd9ab5e7cec0e466fd15d80e%22	http://assets.squarespace.com/universal/styles-compressed/commerce-0418f029ba9aeb9db8790-min.en-US.css	C:/My%20Web%20Sites/art/assets.squarespace.com/universal/styles-compressed/commerce-0418f029ba9aeb9db8790-min.en-US.css	(from https://www.ahamibeleme.com/)
11:44:45	117897/117897	---M-Z	200	added ('OK')	text/javascript	etag:%229b8787ca431cdba7642412284b263d95%22	http://assets.squarespace.com/universal/scripts-compressed/performance-ce7d1f2871ee50617c80f-min.en-US.js	C:/My%20Web%20Sites/art/assets.squarespace.com/universal/scripts-compressed/performance-ce7d1f2871ee50617c80f-min.en-US.js	(from https://www.ahamibeleme.com/)
11:44:47	467197/467197	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Mar%202021%2009:44:25%20GMT	http://static1.squarespace.com/static/sitecss/5704ec402fe131860c2138f3/34/4fbff70b84aeca67fb3a3c56/5704ec412fe131860c2138fa/865-05142015/1610723847176/site.css	C:/My%20Web%20Sites/art/static1.squarespace.com/static/sitecss/5704ec402fe131860c2138f3/34/4fbff70b84aeca67fb3a3c56/5704ec412fe131860c2138fa/865-05142015/1610723847176/site.css	(from https://www.ahamibeleme.com/)
